"A00.0","Cholera: Cholera due to Vibrio cholerae 01, biovar cholerae"
"A00.1","Cholera: Cholera due to Vibrio cholerae 01, biovar eltor"
"A00.9","Cholera: Cholera, unspecified"
"A01.00","Typhoid fever: Typhoid fever, unspecified"
"A01.01","Typhoid fever: Typhoid meningitis"
"A01.02","Typhoid fever: Typhoid fever with heart involvement"
"A01.03","Typhoid fever: Typhoid pneumonia"
"A01.04","Typhoid fever: Typhoid arthritis"
"A01.05","Typhoid fever: Typhoid osteomyelitis"
"A01.09","Typhoid fever: Typhoid fever with other complications"
"A01.1","Paratyphoid fever A"
"A01.2","Paratyphoid fever B"
"A01.3","Paratyphoid fever C"
"A01.4","Paratyphoid fever, unspecified"
"A02.0","Other salmonella infections: Salmonella enteritis"
"A02.1","Other salmonella infections: Salmonella sepsis"
"A02.20","Localized salmonella infections: Localized salmonella infection, unspecified"
"A02.21","Localized salmonella infections: Salmonella meningitis"
"A02.22","Localized salmonella infections: Salmonella pneumonia"
"A02.23","Localized salmonella infections: Salmonella arthritis"
"A02.24","Localized salmonella infections: Salmonella osteomyelitis"
"A02.25","Localized salmonella infections: Salmonella pyelonephritis"
"A02.29","Localized salmonella infections: Salmonella with other localized infection"
"A02.8","Other specified salmonella infections"
"A02.9","Salmonella infection, unspecified"
"A03.0","Shigellosis: Shigellosis due to Shigella dysenteriae"
"A03.1","Shigellosis: Shigellosis due to Shigella flexneri"
"A03.2","Shigellosis: Shigellosis due to Shigella boydii"
"A03.3","Shigellosis: Shigellosis due to Shigella sonnei"
"A03.8","Shigellosis: Other shigellosis"
"A03.9","Shigellosis: Shigellosis, unspecified"
"A04.0","Other bacterial intestinal infections: Enteropathogenic Escherichia coli infection"
"A04.1","Other bacterial intestinal infections: Enterotoxigenic Escherichia coli infection"
"A04.2","Other bacterial intestinal infections: Enteroinvasive Escherichia coli infection"
"A04.3","Other bacterial intestinal infections: Enterohemorrhagic Escherichia coli infection"
"A04.4","Other bacterial intestinal infections: Other intestinal Escherichia coli infections"
"A04.5","Other bacterial intestinal infections: Campylobacter enteritis"
"A04.6","Other bacterial intestinal infections: Enteritis due to Yersinia enterocolitica"
"A04.71","Enterocolitis due to Clostridium difficile: Enterocolitis due to Clostridium difficile, recurrent"
"A04.72","Enterocolitis due to Clostridium difficile: Enterocolitis d/t Clostridium difficile, not spcf as recur"
"A04.8","Other specified bacterial intestinal infections"
"A04.9","Bacterial intestinal infection, unspecified"
"A05.0","Other bacterial foodborne intoxications, not elsewhere classified: Foodborne staphylococcal intoxication"
"A05.1","Other bacterial foodborne intoxications, not elsewhere classified: Botulism food poisoning"
"A05.2","Other bacterial foodborne intoxications, not elsewhere classified: Foodborne Clostridium perfringens intoxication"
"A05.3","Other bacterial foodborne intoxications, not elsewhere classified: Foodborne Vibrio parahaemolyticus intoxication"
"A05.4","Other bacterial foodborne intoxications, not elsewhere classified: Foodborne Bacillus cereus intoxication"
"A05.5","Other bacterial foodborne intoxications, not elsewhere classified: Foodborne Vibrio vulnificus intoxication"
"A05.8","Other bacterial foodborne intoxications, not elsewhere classified: Other specified bacterial foodborne intoxications"
"A05.9","Other bacterial foodborne intoxications, not elsewhere classified: Bacterial foodborne intoxication, unspecified"
"A06.0","Amebiasis: Acute amebic dysentery"
"A06.1","Amebiasis: Chronic intestinal amebiasis"
"A06.2","Amebiasis: Amebic nondysenteric colitis"
"A06.3","Amebiasis: Ameboma of intestine"
"A06.4","Amebiasis: Amebic liver abscess"
"A06.5","Amebiasis: Amebic lung abscess"
"A06.6","Amebiasis: Amebic brain abscess"
"A06.7","Amebiasis: Cutaneous amebiasis"
"A06.81","Amebic infection of other sites: Amebic cystitis"
"A06.82","Amebic infection of other sites: Other amebic genitourinary infections"
"A06.89","Amebic infection of other sites: Other amebic infections"
"A06.9","Amebiasis, unspecified"
"A07.0","Other protozoal intestinal diseases: Balantidiasis"
"A07.1","Other protozoal intestinal diseases: Giardiasis [lambliasis]"
"A07.2","Other protozoal intestinal diseases: Cryptosporidiosis"
"A07.3","Other protozoal intestinal diseases: Isosporiasis"
"A07.4","Other protozoal intestinal diseases: Cyclosporiasis"
"A07.8","Other protozoal intestinal diseases: Other specified protozoal intestinal diseases"
"A07.9","Other protozoal intestinal diseases: Protozoal intestinal disease, unspecified"
"A08.0","Viral and other specified intestinal infections: Rotaviral enteritis"
"A08.11","Acute gastroenteropathy due to Norwalk agent and other small round viruses: Acute gastroenteropathy due to Norwalk agent"
"A08.19","Acute gastroenteropathy due to Norwalk agent and other small round viruses: Acute gastroenteropathy due to other small round viruses"
"A08.2","Adenoviral enteritis"
"A08.31","Other viral enteritis: Calicivirus enteritis"
"A08.32","Other viral enteritis: Astrovirus enteritis"
"A08.39","Other viral enteritis"
"A08.4","Viral intestinal infection, unspecified"
"A08.8","Other specified intestinal infections"
"A09","Infectious gastroenteritis and colitis, unspecified"
"A15.0","Respiratory tuberculosis: Tuberculosis of lung"
"A15.4","Respiratory tuberculosis: Tuberculosis of intrathoracic lymph nodes"
"A15.5","Respiratory tuberculosis: Tuberculosis of larynx, trachea and bronchus"
"A15.6","Respiratory tuberculosis: Tuberculous pleurisy"
"A15.7","Respiratory tuberculosis: Primary respiratory tuberculosis"
"A15.8","Respiratory tuberculosis: Other respiratory tuberculosis"
"A15.9","Respiratory tuberculosis: Respiratory tuberculosis unspecified"
"A17.0","Tuberculosis of nervous system: Tuberculous meningitis"
"A17.1","Tuberculosis of nervous system: Meningeal tuberculoma"
"A17.81","Other tuberculosis of nervous system: Tuberculoma of brain and spinal cord"
"A17.82","Other tuberculosis of nervous system: Tuberculous meningoencephalitis"
"A17.83","Other tuberculosis of nervous system: Tuberculous neuritis"
"A17.89","Other tuberculosis of nervous system"
"A17.9","Tuberculosis of nervous system, unspecified"
"A18.01","Tuberculosis of bones and joints: Tuberculosis of spine"
"A18.02","Tuberculosis of bones and joints: Tuberculous arthritis of other joints"
"A18.03","Tuberculosis of bones and joints: Tuberculosis of other bones"
"A18.09","Tuberculosis of bones and joints: Other musculoskeletal tuberculosis"
"A18.10","Tuberculosis of genitourinary system: Tuberculosis of genitourinary system, unspecified"
"A18.11","Tuberculosis of genitourinary system: Tuberculosis of kidney and ureter"
"A18.12","Tuberculosis of genitourinary system: Tuberculosis of bladder"
"A18.13","Tuberculosis of genitourinary system: Tuberculosis of other urinary organs"
"A18.14","Tuberculosis of genitourinary system: Tuberculosis of prostate"
"A18.15","Tuberculosis of genitourinary system: Tuberculosis of other male genital organs"
"A18.16","Tuberculosis of genitourinary system: Tuberculosis of cervix"
"A18.17","Tuberculosis of genitourinary system: Tuberculous female pelvic inflammatory disease"
"A18.18","Tuberculosis of genitourinary system: Tuberculosis of other female genital organs"
"A18.2","Tuberculous peripheral lymphadenopathy"
"A18.31","Tuberculosis of intestines, peritoneum and mesenteric glands: Tuberculous peritonitis"
"A18.32","Tuberculosis of intestines, peritoneum and mesenteric glands: Tuberculous enteritis"
"A18.39","Tuberculosis of intestines, peritoneum and mesenteric glands: Retroperitoneal tuberculosis"
"A18.4","Tuberculosis of skin and subcutaneous tissue"
"A18.50","Tuberculosis of eye: Tuberculosis of eye, unspecified"
"A18.51","Tuberculosis of eye: Tuberculous episcleritis"
"A18.52","Tuberculosis of eye: Tuberculous keratitis"
"A18.53","Tuberculosis of eye: Tuberculous chorioretinitis"
"A18.54","Tuberculosis of eye: Tuberculous iridocyclitis"
"A18.59","Tuberculosis of eye: Other tuberculosis of eye"
"A18.6","Tuberculosis of (inner) (middle) ear"
"A18.7","Tuberculosis of adrenal glands"
"A18.81","Tuberculosis of other specified organs: Tuberculosis of thyroid gland"
"A18.82","Tuberculosis of other specified organs: Tuberculosis of other endocrine glands"
"A18.83","Tuberculosis of other specified organs: Tuberculosis of digestive tract organs, NEC"
"A18.84","Tuberculosis of other specified organs: Tuberculosis of heart"
"A18.85","Tuberculosis of other specified organs: Tuberculosis of spleen"
"A18.89","Tuberculosis of other specified organs: Tuberculosis of other sites"
"A19.0","Miliary tuberculosis: Acute miliary tuberculosis of a single specified site"
"A19.1","Miliary tuberculosis: Acute miliary tuberculosis of multiple sites"
"A19.2","Miliary tuberculosis: Acute miliary tuberculosis, unspecified"
"A19.8","Miliary tuberculosis: Other miliary tuberculosis"
"A19.9","Miliary tuberculosis: Miliary tuberculosis, unspecified"
"A20.0","Plague: Bubonic plague"
"A20.1","Plague: Cellulocutaneous plague"
"A20.2","Plague: Pneumonic plague"
"A20.3","Plague: Plague meningitis"
"A20.7","Plague: Septicemic plague"
"A20.8","Plague: Other forms of plague"
"A20.9","Plague: Plague, unspecified"
"A21.0","Tularemia: Ulceroglandular tularemia"
"A21.1","Tularemia: Oculoglandular tularemia"
"A21.2","Tularemia: Pulmonary tularemia"
"A21.3","Tularemia: Gastrointestinal tularemia"
"A21.7","Tularemia: Generalized tularemia"
"A21.8","Tularemia: Other forms of tularemia"
"A21.9","Tularemia: Tularemia, unspecified"
"A22.0","Anthrax: Cutaneous anthrax"
"A22.1","Anthrax: Pulmonary anthrax"
"A22.2","Anthrax: Gastrointestinal anthrax"
"A22.7","Anthrax: Anthrax sepsis"
"A22.8","Anthrax: Other forms of anthrax"
"A22.9","Anthrax: Anthrax, unspecified"
"A23.0","Brucellosis: Brucellosis due to Brucella melitensis"
"A23.1","Brucellosis: Brucellosis due to Brucella abortus"
"A23.2","Brucellosis: Brucellosis due to Brucella suis"
"A23.3","Brucellosis: Brucellosis due to Brucella canis"
"A23.8","Brucellosis: Other brucellosis"
"A23.9","Brucellosis: Brucellosis, unspecified"
"A24.0","Glanders and melioidosis: Glanders"
"A24.1","Glanders and melioidosis: Acute and fulminating melioidosis"
"A24.2","Glanders and melioidosis: Subacute and chronic melioidosis"
"A24.3","Glanders and melioidosis: Other melioidosis"
"A24.9","Glanders and melioidosis: Melioidosis, unspecified"
"A25.0","Rat-bite fevers: Spirillosis"
"A25.1","Rat-bite fevers: Streptobacillosis"
"A25.9","Rat-bite fevers: Rat-bite fever, unspecified"
"A26.0","Erysipeloid: Cutaneous erysipeloid"
"A26.7","Erysipeloid: Erysipelothrix sepsis"
"A26.8","Erysipeloid: Other forms of erysipeloid"
"A26.9","Erysipeloid: Erysipeloid, unspecified"
"A27.0","Leptospirosis: Leptospirosis icterohemorrhagica"
"A27.81","Other forms of leptospirosis: Aseptic meningitis in leptospirosis"
"A27.89","Other forms of leptospirosis"
"A27.9","Leptospirosis, unspecified"
"A28.0","Other zoonotic bacterial diseases, not elsewhere classified: Pasteurellosis"
"A28.1","Other zoonotic bacterial diseases, not elsewhere classified: Cat-scratch disease"
"A28.2","Other zoonotic bacterial diseases, not elsewhere classified: Extraintestinal yersiniosis"
"A28.8","Other zoonotic bacterial diseases, not elsewhere classified: Oth zoonotic bacterial diseases, not elsewhere classified"
"A28.9","Other zoonotic bacterial diseases, not elsewhere classified: Zoonotic bacterial disease, unspecified"
"A30.0","Leprosy [Hansen's disease]: Indeterminate leprosy"
